ticker,company,sector,avg_return,volatility,avg_return_pct,volatility_pct,avg_volume,n_days
AAPL,AAPL,Technology,0.0013483507826828206,0.019681371305465975,0.13483507826828206,1.9681371305465976,89075213.00345224,1738
BAC,BAC,Finance,0.0007535621866041598,0.020915189178922107,0.07535621866041597,2.091518917892211,49206297.98619103,1738
CVX,CVX,Energy,0.0005655951782148788,0.020367465832046804,0.05655951782148788,2.0367465832046805,9257770.943613349,1738
JPM,JPM,Finance,0.0009516800989644206,0.01886593448948397,0.09516800989644206,1.886593448948397,12430254.257767549,1738
MSFT,MSFT,Technology,0.0011104000130632316,0.01794097650151988,0.11104000130632316,1.7940976501519879,27199379.516685847,1738
PFE,PFE,Healthcare,5.247546897030334e-05,0.016549235945207862,0.005247546897030334,1.6549235945207863,33128226.951668583,1738
UNH,UNH,Healthcare,0.00045009983018845967,0.020451977107215226,0.04500998301884597,2.0451977107215225,4740995.972382048,1738
XOM,XOM,Energy,0.0006744105265890012,0.01969818355850505,0.06744105265890012,1.969818355850505,20002218.58457998,1738
